song_base,artist_canon,artist_name_has_spanish_char,artist_name_has_spanish_word,title_has_en_vivo,title_has_con_feat,genius_annotation_count,genius_pageviews
renegade,big red machine featuring taylor swift,0,0,0,0,,
cry no more,g herbo featuring polo g and lil tjay,0,0,0,0,,
essence,wizkid featuring tems,0,0,0,0,,
made for you,jake owen,0,0,0,0,0.0,66422.0
having our way,migos featuring drake,0,0,0,0,20.0,329242.0
what's next,drake,0,0,0,0,15.0,531635.0
enough for you,olivia rodrigo,0,0,0,0,7.0,733601.0
juggernaut,"tyler, the creator featuring lil uzi vert and pharrell williams",0,0,0,0,,
tell em,cochise and $not,0,0,0,0,,
lemonhead,"tyler, the creator featuring 42 dugg",0,0,0,0,,
lumberjack,"tyler, the creator",0,0,0,0,24.0,613401.0
almost maybes,jordan davis,0,0,0,0,5.0,14428.0
hot wind blows,"tyler, the creator featuring lil wayne",0,0,0,0,14.0,390025.0
corso,"tyler, the creator",0,0,0,0,15.0,465096.0
i don't do drugs,doja cat featuring ariana grande,0,0,0,0,11.0,427497.0
sir baudelaire,"tyler, the creator featuring dj drama",0,0,0,0,31.0,324031.0
sweet i thought you wanted to dance,"tyler, the creator featuring brent faiyaz and fana hues",0,0,0,0,54.0,830683.0
massa,"tyler, the creator",0,0,0,0,41.0,418146.0
runitup,"tyler, the creator featuring teezo touchdown",0,0,0,0,,
manifesto,"tyler, the creator featuring domo genesis",0,0,0,0,,
wilshire,"tyler, the creator",0,0,0,0,52.0,603146.0
rise,"tyler, the creator featuring daisy world",0,0,0,0,,
what you know bout love,pop smoke,0,0,0,0,1.0,596293.0
time today,moneybagg yo,0,0,0,0,13.0,186671.0
up,cardi b,0,0,0,0,13.0,2993417.0
beat box,spotemgottem featuring pooh shiesty or dababy,0,0,0,0,,
nobody,dylan scott,0,0,0,0,0.0,11836.0
no return,polo g featuring the kid laroi and lil durk,0,0,0,0,,
no more parties,coi leray featuring lil durk,0,0,0,0,6.0,293399.0
quicksand,morray,0,0,0,0,17.0,150478.0
gang gang,polo g and lil wayne,0,0,0,0,16.0,183589.0
pick up your feelings,jazmine sullivan,0,0,0,0,4.0,135369.0
avalanche,migos,0,0,0,0,16.0,164033.0
we're good,dua lipa,0,0,0,0,5.0,483992.0
pride is the devil,j. cole and lil baby,0,0,0,0,12.0,953204.0
still runnin,"lil baby, lil durk and meek mill",0,0,0,0,15.0,139763.0
how it feels,lil baby and lil durk,0,0,0,0,6.0,131994.0
black hearted,polo g,0,0,0,0,14.0,187664.0
painting pictures,polo g,0,0,0,0,11.0,130909.0
modern day,migos,0,0,0,0,14.0,114160.0
toxic,polo g,0,0,0,0,8.0,155450.0
solar power,lorde,0,0,0,0,13.0,603338.0
malibu,migos featuring polo g,0,0,0,0,,
type shit,migos and cardi b,0,0,0,0,7.0,98869.0
clueless,polo g featuring pop smoke and fivio foreign,0,0,0,0,,
voice of the heroes,lil baby and lil durk,0,0,0,0,15.0,169322.0
heart of a giant,polo g featuring rod wave,0,0,0,0,2.0,95935.0
party lyfe,polo g featuring dababy,0,0,0,0,2.0,67729.0
go part 1,polo g featuring g herbo,0,0,0,0,8.0,73431.0
epidemic,polo g,0,0,0,0,17.0,382384.0
boom,polo g,0,0,0,0,8.0,62436.0
2040,lil baby and lil durk,0,0,0,0,,
1 step forward 3 steps back,olivia rodrigo,0,0,0,0,10.0,923150.0
bloody canvas,polo g,0,0,0,0,30.0,159493.0
who i want,lil baby and lil durk,0,0,0,0,20.0,152477.0
back in blood,pooh shiesty featuring lil durk,0,0,0,0,17.0,705271.0
still hood,lil baby and lil durk,0,0,0,0,7.0,77011.0
